[True, False, True]
Run timestamp: 06102023_193136_23.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '25000000.0', '--lambda_gene_expr_recon', '15000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_23']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8976; val_auprc_score: 0.9829; val_best_acc_score: 0.9190; val_best_f1_score: 0.9555; train_kl_reg_loss: 24421.1150; train_edge_recon_loss: 3184241.4798; train_gene_expr_recon_loss: 12991246.2580; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 16199908.8521; train_optim_loss: 16199908.8521; val_kl_reg_loss: 25759.0823; val_edge_recon_loss: 3227822.7315; val_gene_expr_recon_loss: 11428076.5833; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 14681658.3827; val_optim_loss: 14681658.3827
Epoch 12/400 |--------------------| 3.0% val_auroc_score: 0.9457; val_auprc_score: 0.9912; val_best_acc_score: 0.9420; val_best_f1_score: 0.9678; train_kl_reg_loss: 380918196880.0557; train_edge_recon_loss: 3049293.4181; train_gene_expr_recon_loss: 10222803.4099; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 380931464422.6285; train_optim_loss: 380931464422.6285; val_kl_reg_loss: 54175.6940; val_edge_recon_loss: 3180981.7701; val_gene_expr_recon_loss: 9962189.3395; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13197346.8025; val_optim_loss: 13197346.8025
Epoch 13/400 |--------------------| 3.2% val_auroc_score: 0.9051; val_auprc_score: 0.9845; val_best_acc_score: 0.9200; val_best_f1_score: 0.9561; train_kl_reg_loss: 2031837.7915; train_edge_recon_loss: 3125711.2028; train_gene_expr_recon_loss: 12081276.1921; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 17238825.1266; train_optim_loss: 17238825.1266; val_kl_reg_loss: 51808.2714; val_edge_recon_loss: 3256646.8302; val_gene_expr_recon_loss: 11923391.4506; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 15231846.5895; val_optim_loss: 15231846.5895
Epoch 14/400 |--------------------| 3.5% val_auroc_score: 0.9474; val_auprc_score: 0.9914; val_best_acc_score: 0.9428; val_best_f1_score: 0.9682; train_kl_reg_loss: 11932764706348200.0000; train_edge_recon_loss: 3062951.2210; train_gene_expr_recon_loss: 10705376.9887; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 11932764720111774.0000; train_optim_loss: 11932764720111774.0000; val_kl_reg_loss: 57032.9706; val_edge_recon_loss: 3187325.3372; val_gene_expr_recon_loss: 10046578.0741; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13290936.3951; val_optim_loss: 13290936.3951

Reducing learning rate: metric has not improved more than 0.0 in the last 4 epochs.
New learning rate is 0.0001.

Epoch 15/400 |--------------------| 3.8% val_auroc_score: 0.9487; val_auprc_score: 0.9919; val_best_acc_score: 0.9436; val_best_f1_score: 0.9687; train_kl_reg_loss: 56569.9980; train_edge_recon_loss: 3027364.8136; train_gene_expr_recon_loss: 9923103.2642; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 13007038.0755; train_optim_loss: 13007038.0755; val_kl_reg_loss: 57426.6701; val_edge_recon_loss: 3129301.4502; val_gene_expr_recon_loss: 9906173.9877; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13092902.1173; val_optim_loss: 13092902.1173
Epoch 16/400 |--------------------| 4.0% val_auroc_score: 0.9500; val_auprc_score: 0.9920; val_best_acc_score: 0.9440; val_best_f1_score: 0.9688; train_kl_reg_loss: 56907.2707; train_edge_recon_loss: 3022059.5482; train_gene_expr_recon_loss: 9833317.0292; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12912283.8556; train_optim_loss: 12912283.8556; val_kl_reg_loss: 57286.6458; val_edge_recon_loss: 3179205.6512; val_gene_expr_recon_loss: 9833088.2778; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13069580.5864; val_optim_loss: 13069580.5864
Epoch 17/400 |--------------------| 4.2% val_auroc_score: 0.9502; val_auprc_score: 0.9920; val_best_acc_score: 0.9444; val_best_f1_score: 0.9691; train_kl_reg_loss: 56322.0089; train_edge_recon_loss: 3025919.8490; train_gene_expr_recon_loss: 9766360.5681; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12848602.4261; train_optim_loss: 12848602.4261; val_kl_reg_loss: 56340.4250; val_edge_recon_loss: 3156144.4275; val_gene_expr_recon_loss: 9792297.0741; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13004781.9228; val_optim_loss: 13004781.9228
Epoch 18/400 |--------------------| 4.5% val_auroc_score: 0.9485; val_auprc_score: 0.9918; val_best_acc_score: 0.9438; val_best_f1_score: 0.9687; train_kl_reg_loss: 55570.5914; train_edge_recon_loss: 3034703.9937; train_gene_expr_recon_loss: 9725901.0690; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12816175.6597; train_optim_loss: 12816175.6597; val_kl_reg_loss: 55457.3544; val_edge_recon_loss: 3165774.3889; val_gene_expr_recon_loss: 9733219.2654; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12954451.0463; val_optim_loss: 12954451.0463
Epoch 19/400 |--------------------| 4.8% val_auroc_score: 0.9510; val_auprc_score: 0.9922; val_best_acc_score: 0.9455; val_best_f1_score: 0.9697; train_kl_reg_loss: 54745.2660; train_edge_recon_loss: 3024610.7042; train_gene_expr_recon_loss: 9694414.2971; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12773770.2758; train_optim_loss: 12773770.2758; val_kl_reg_loss: 54596.1196; val_edge_recon_loss: 3154054.3395; val_gene_expr_recon_loss: 9718431.3364; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12927081.7870; val_optim_loss: 12927081.7870
Epoch 20/400 |█-------------------| 5.0% val_auroc_score: 0.9508; val_auprc_score: 0.9921; val_best_acc_score: 0.9453; val_best_f1_score: 0.9696; train_kl_reg_loss: 53840.6413; train_edge_recon_loss: 3025441.3037; train_gene_expr_recon_loss: 9670953.8281; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12750235.7674; train_optim_loss: 12750235.7674; val_kl_reg_loss: 53262.6468; val_edge_recon_loss: 3158020.7045; val_gene_expr_recon_loss: 9700447.0957; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12911730.4228; val_optim_loss: 12911730.4228
Epoch 21/400 |█-------------------| 5.2% val_auroc_score: 0.9520; val_auprc_score: 0.9924; val_best_acc_score: 0.9449; val_best_f1_score: 0.9693; train_kl_reg_loss: 52782.4230; train_edge_recon_loss: 3030297.7025; train_gene_expr_recon_loss: 9657299.7201; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12740379.8508; train_optim_loss: 12740379.8508; val_kl_reg_loss: 53093.2270; val_edge_recon_loss: 3154475.1339; val_gene_expr_recon_loss: 9683041.3241; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12890609.6698; val_optim_loss: 12890609.6698
Epoch 22/400 |█-------------------| 5.5% val_auroc_score: 0.9510; val_auprc_score: 0.9923; val_best_acc_score: 0.9453; val_best_f1_score: 0.9696; train_kl_reg_loss: 52242.7955; train_edge_recon_loss: 3017833.9577; train_gene_expr_recon_loss: 9644744.1372; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12714820.8995; train_optim_loss: 12714820.8995; val_kl_reg_loss: 52423.1539; val_edge_recon_loss: 3156797.2670; val_gene_expr_recon_loss: 9682305.6883; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12891526.0957; val_optim_loss: 12891526.0957
Epoch 23/400 |█-------------------| 5.8% val_auroc_score: 0.9519; val_auprc_score: 0.9924; val_best_acc_score: 0.9465; val_best_f1_score: 0.9702; train_kl_reg_loss: 51606.1845; train_edge_recon_loss: 3024454.2744; train_gene_expr_recon_loss: 9634927.3523; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12710987.8161; train_optim_loss: 12710987.8161; val_kl_reg_loss: 51476.8745; val_edge_recon_loss: 3127556.2577; val_gene_expr_recon_loss: 9665289.2160; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12844322.3457; val_optim_loss: 12844322.3457
Epoch 24/400 |█-------------------| 6.0% val_auroc_score: 0.9518; val_auprc_score: 0.9923; val_best_acc_score: 0.9460; val_best_f1_score: 0.9699; train_kl_reg_loss: 51069.6795; train_edge_recon_loss: 3029561.1359; train_gene_expr_recon_loss: 9623763.9194; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12704394.7437; train_optim_loss: 12704394.7437; val_kl_reg_loss: 51246.8686; val_edge_recon_loss: 3155795.2299; val_gene_expr_recon_loss: 9655649.8148; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 12862691.9259; val_optim_loss: 12862691.9259
