[True, False, True]
Run timestamp: 06102023_193136_25.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '50000000.0', '--lambda_gene_expr_recon', '30000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_25']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8872; val_auprc_score: 0.9808; val_best_acc_score: 0.9137; val_best_f1_score: 0.9526; train_kl_reg_loss: 29963.2813; train_edge_recon_loss: 6374522.8047; train_gene_expr_recon_loss: 26085887.8319; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 32490373.8998; train_optim_loss: 32490373.8998; val_kl_reg_loss: 32298.8276; val_edge_recon_loss: 6587631.3889; val_gene_expr_recon_loss: 22989489.0556; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 29609419.2778; val_optim_loss: 29609419.2778
Epoch 12/400 |--------------------| 3.0% val_auroc_score: 0.9284; val_auprc_score: 0.9882; val_best_acc_score: 0.9334; val_best_f1_score: 0.9631; train_kl_reg_loss: 107668044820.6928; train_edge_recon_loss: 6128968.8545; train_gene_expr_recon_loss: 20148606.9235; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 107694325141.3441; train_optim_loss: 107694325141.3441; val_kl_reg_loss: 74027.5768; val_edge_recon_loss: 6404507.7292; val_gene_expr_recon_loss: 20260349.1358; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26738884.4568; val_optim_loss: 26738884.4568
Epoch 13/400 |--------------------| 3.2% val_auroc_score: 0.9262; val_auprc_score: 0.9878; val_best_acc_score: 0.9334; val_best_f1_score: 0.9631; train_kl_reg_loss: 3757100.4540; train_edge_recon_loss: 6143823.5003; train_gene_expr_recon_loss: 20109494.7993; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 30010418.5592; train_optim_loss: 30010418.5592; val_kl_reg_loss: 80008.6569; val_edge_recon_loss: 6387093.3812; val_gene_expr_recon_loss: 20261344.5864; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26728446.5926; val_optim_loss: 26728446.5926
Epoch 14/400 |--------------------| 3.5% val_auroc_score: 0.9267; val_auprc_score: 0.9879; val_best_acc_score: 0.9328; val_best_f1_score: 0.9627; train_kl_reg_loss: 42298729.7296; train_edge_recon_loss: 6144152.8808; train_gene_expr_recon_loss: 20121888.3348; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 68564769.3345; train_optim_loss: 68564769.3345; val_kl_reg_loss: 82017.4567; val_edge_recon_loss: 6412558.5833; val_gene_expr_recon_loss: 20177599.3580; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26672175.4012; val_optim_loss: 26672175.4012
Epoch 15/400 |--------------------| 3.8% val_auroc_score: 0.9273; val_auprc_score: 0.9879; val_best_acc_score: 0.9343; val_best_f1_score: 0.9636; train_kl_reg_loss: 173255537.8881; train_edge_recon_loss: 6143341.2440; train_gene_expr_recon_loss: 20212937.1101; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 199611807.9623; train_optim_loss: 199611807.9623; val_kl_reg_loss: 91503.8208; val_edge_recon_loss: 6422807.2886; val_gene_expr_recon_loss: 20207556.9815; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26721868.1049; val_optim_loss: 26721868.1049
Epoch 16/400 |--------------------| 4.0% val_auroc_score: 0.9272; val_auprc_score: 0.9880; val_best_acc_score: 0.9339; val_best_f1_score: 0.9633; train_kl_reg_loss: 2919726790.8609; train_edge_recon_loss: 6150476.5262; train_gene_expr_recon_loss: 20071478.2154; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2945948726.9434; train_optim_loss: 2945948726.9434; val_kl_reg_loss: 90332.3332; val_edge_recon_loss: 6418518.1451; val_gene_expr_recon_loss: 20153542.8457; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26662393.3272; val_optim_loss: 26662393.3272
Epoch 17/400 |--------------------| 4.2% val_auroc_score: 0.9296; val_auprc_score: 0.9886; val_best_acc_score: 0.9339; val_best_f1_score: 0.9634; train_kl_reg_loss: 5412739.0025; train_edge_recon_loss: 6147478.2250; train_gene_expr_recon_loss: 20041867.2364; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 31602084.6230; train_optim_loss: 31602084.6230; val_kl_reg_loss: 93976.2455; val_edge_recon_loss: 6401720.9352; val_gene_expr_recon_loss: 20245240.6481; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26740937.8148; val_optim_loss: 26740937.8148
Epoch 18/400 |--------------------| 4.5% val_auroc_score: 0.9297; val_auprc_score: 0.9884; val_best_acc_score: 0.9339; val_best_f1_score: 0.9633; train_kl_reg_loss: 6472316.1340; train_edge_recon_loss: 6145873.8786; train_gene_expr_recon_loss: 20083188.0576; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 32701378.0638; train_optim_loss: 32701378.0638; val_kl_reg_loss: 95445.5386; val_edge_recon_loss: 6417674.1088; val_gene_expr_recon_loss: 20206661.7284; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26719781.3580; val_optim_loss: 26719781.3580
Epoch 19/400 |--------------------| 4.8% val_auroc_score: 0.8745; val_auprc_score: 0.9786; val_best_acc_score: 0.9123; val_best_f1_score: 0.9520; train_kl_reg_loss: 105794.5713; train_edge_recon_loss: 6221498.0662; train_gene_expr_recon_loss: 22606488.4569; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 28933781.0991; train_optim_loss: 28933781.0991; val_kl_reg_loss: 41969.7703; val_edge_recon_loss: 6682500.3596; val_gene_expr_recon_loss: 26040723.6543; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 32765193.7654; val_optim_loss: 32765193.7654
Epoch 20/400 |█-------------------| 5.0% val_auroc_score: 0.9284; val_auprc_score: 0.9881; val_best_acc_score: 0.9355; val_best_f1_score: 0.9643; train_kl_reg_loss: 9291177563.0801; train_edge_recon_loss: 6230036.1015; train_gene_expr_recon_loss: 22316204.2511; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 9319724218.8768; train_optim_loss: 9319724218.8768; val_kl_reg_loss: 565737056.1903; val_edge_recon_loss: 6984108.8410; val_gene_expr_recon_loss: 32503172.9691; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 605224289.3951; val_optim_loss: 605224289.3951

Reducing learning rate: metric has not improved more than 0.0 in the last 4 epochs.
New learning rate is 0.0001.

Epoch 21/400 |█-------------------| 5.2% val_auroc_score: 0.9271; val_auprc_score: 0.9880; val_best_acc_score: 0.9334; val_best_f1_score: 0.9631; train_kl_reg_loss: 103076.8540; train_edge_recon_loss: 6182188.9952; train_gene_expr_recon_loss: 21373839.6954; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 27659105.5513; train_optim_loss: 27659105.5513; val_kl_reg_loss: 104152.5741; val_edge_recon_loss: 6392475.3981; val_gene_expr_recon_loss: 20239430.1728; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26736058.2160; val_optim_loss: 26736058.2160
Epoch 22/400 |█-------------------| 5.5% val_auroc_score: 0.9288; val_auprc_score: 0.9885; val_best_acc_score: 0.9342; val_best_f1_score: 0.9635; train_kl_reg_loss: 105871.6011; train_edge_recon_loss: 6125163.3714; train_gene_expr_recon_loss: 20006411.5602; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26237446.5585; train_optim_loss: 26237446.5585; val_kl_reg_loss: 104589.5592; val_edge_recon_loss: 6366563.8179; val_gene_expr_recon_loss: 20041063.0185; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26512216.4568; val_optim_loss: 26512216.4568
Epoch 23/400 |█-------------------| 5.8% val_auroc_score: 0.9330; val_auprc_score: 0.9892; val_best_acc_score: 0.9355; val_best_f1_score: 0.9643; train_kl_reg_loss: 104111.3589; train_edge_recon_loss: 6118694.7090; train_gene_expr_recon_loss: 19857305.6336; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26080111.7105; train_optim_loss: 26080111.7105; val_kl_reg_loss: 103854.2868; val_edge_recon_loss: 6361131.2978; val_gene_expr_recon_loss: 19928528.5247; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26393514.0556; val_optim_loss: 26393514.0556
Epoch 24/400 |█-------------------| 6.0% val_auroc_score: 0.9330; val_auprc_score: 0.9891; val_best_acc_score: 0.9351; val_best_f1_score: 0.9639; train_kl_reg_loss: 103766.5210; train_edge_recon_loss: 6130317.2757; train_gene_expr_recon_loss: 19783407.0854; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26017490.8645; train_optim_loss: 26017490.8645; val_kl_reg_loss: 104187.4557; val_edge_recon_loss: 6408415.2685; val_gene_expr_recon_loss: 19892179.8210; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26404782.5864; val_optim_loss: 26404782.5864
