[True, False, True]
Run timestamp: 06102023_193137_22.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '30', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.0', '--lambda_gene_expr_recon', '3000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_22']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 63, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 63, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9239; val_auprc_score: 0.9875; val_best_acc_score: 0.9324; val_best_f1_score: 0.9626; train_kl_reg_loss: 10909.6665; train_edge_recon_loss: 628830.6415; train_gene_expr_recon_loss: 2595542.3219; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3235282.6273; train_optim_loss: 3235282.6273; val_kl_reg_loss: 12869.5376; val_edge_recon_loss: 639719.5287; val_gene_expr_recon_loss: 2256099.2060; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2908688.2662; val_optim_loss: 2908688.2662
Epoch 12/400 |--------------------| 3.0% val_auroc_score: 0.9498; val_auprc_score: 0.9921; val_best_acc_score: 0.9441; val_best_f1_score: 0.9689; train_kl_reg_loss: 19198.1432; train_edge_recon_loss: 611442.7019; train_gene_expr_recon_loss: 1938844.9833; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2569485.8278; train_optim_loss: 2569485.8278; val_kl_reg_loss: 19422.5280; val_edge_recon_loss: 635851.7725; val_gene_expr_recon_loss: 1940562.6296; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2595836.9259; val_optim_loss: 2595836.9259
Epoch 13/400 |--------------------| 3.2% val_auroc_score: 0.9473; val_auprc_score: 0.9916; val_best_acc_score: 0.9437; val_best_f1_score: 0.9687; train_kl_reg_loss: 19236.1094; train_edge_recon_loss: 609520.6001; train_gene_expr_recon_loss: 1933008.2028; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2561764.9125; train_optim_loss: 2561764.9125; val_kl_reg_loss: 19113.6098; val_edge_recon_loss: 640847.5658; val_gene_expr_recon_loss: 1933166.8839; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2593128.0648; val_optim_loss: 2593128.0648
Epoch 14/400 |--------------------| 3.5% val_auroc_score: 0.9485; val_auprc_score: 0.9916; val_best_acc_score: 0.9435; val_best_f1_score: 0.9685; train_kl_reg_loss: 19253.8683; train_edge_recon_loss: 610205.7034; train_gene_expr_recon_loss: 1928686.2250; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2558145.7951; train_optim_loss: 2558145.7951; val_kl_reg_loss: 19581.2139; val_edge_recon_loss: 644136.3362; val_gene_expr_recon_loss: 1933553.2473; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2597270.7986; val_optim_loss: 2597270.7986
Epoch 15/400 |--------------------| 3.8% val_auroc_score: 0.9516; val_auprc_score: 0.9923; val_best_acc_score: 0.9465; val_best_f1_score: 0.9702; train_kl_reg_loss: 19453.4453; train_edge_recon_loss: 611794.6741; train_gene_expr_recon_loss: 1924746.3377; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2555994.4594; train_optim_loss: 2555994.4594; val_kl_reg_loss: 19509.2622; val_edge_recon_loss: 634593.1205; val_gene_expr_recon_loss: 1928754.3584; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2582856.7400; val_optim_loss: 2582856.7400
Epoch 16/400 |--------------------| 4.0% val_auroc_score: 0.9508; val_auprc_score: 0.9921; val_best_acc_score: 0.9468; val_best_f1_score: 0.9704; train_kl_reg_loss: 19651.1889; train_edge_recon_loss: 611322.3120; train_gene_expr_recon_loss: 1924474.1710; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2555447.6715; train_optim_loss: 2555447.6715; val_kl_reg_loss: 20542.4748; val_edge_recon_loss: 633884.7726; val_gene_expr_recon_loss: 1928078.5922; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2582505.8380; val_optim_loss: 2582505.8380
Epoch 17/400 |--------------------| 4.2% val_auroc_score: 0.9527; val_auprc_score: 0.9923; val_best_acc_score: 0.9472; val_best_f1_score: 0.9705; train_kl_reg_loss: 19770.9624; train_edge_recon_loss: 614162.8552; train_gene_expr_recon_loss: 1922629.6484; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2556563.4648; train_optim_loss: 2556563.4648; val_kl_reg_loss: 19679.6857; val_edge_recon_loss: 636748.8587; val_gene_expr_recon_loss: 1924290.1674; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2580718.7091; val_optim_loss: 2580718.7091
Epoch 18/400 |--------------------| 4.5% val_auroc_score: 0.9521; val_auprc_score: 0.9924; val_best_acc_score: 0.9469; val_best_f1_score: 0.9705; train_kl_reg_loss: 19816.9428; train_edge_recon_loss: 613161.5435; train_gene_expr_recon_loss: 1916504.1852; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2549482.6714; train_optim_loss: 2549482.6714; val_kl_reg_loss: 19860.6898; val_edge_recon_loss: 634469.0443; val_gene_expr_recon_loss: 1923169.7442; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2577499.4823; val_optim_loss: 2577499.4823
Epoch 19/400 |--------------------| 4.8% val_auroc_score: 0.9515; val_auprc_score: 0.9923; val_best_acc_score: 0.9464; val_best_f1_score: 0.9701; train_kl_reg_loss: 19946.0324; train_edge_recon_loss: 609967.7232; train_gene_expr_recon_loss: 1914347.5752; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2544261.3295; train_optim_loss: 2544261.3295; val_kl_reg_loss: 20253.0398; val_edge_recon_loss: 634866.9156; val_gene_expr_recon_loss: 1925212.5513; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2580332.5046; val_optim_loss: 2580332.5046
Epoch 20/400 |█-------------------| 5.0% val_auroc_score: 0.9518; val_auprc_score: 0.9921; val_best_acc_score: 0.9473; val_best_f1_score: 0.9706; train_kl_reg_loss: 20235.4446; train_edge_recon_loss: 612306.2723; train_gene_expr_recon_loss: 2031714.1912; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2664255.9085; train_optim_loss: 2664255.9085; val_kl_reg_loss: 21123.7608; val_edge_recon_loss: 640738.5105; val_gene_expr_recon_loss: 1974246.4483; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2636108.7122; val_optim_loss: 2636108.7122
Epoch 21/400 |█-------------------| 5.2% val_auroc_score: 0.8154; val_auprc_score: 0.9703; val_best_acc_score: 0.8910; val_best_f1_score: 0.9416; train_kl_reg_loss: 7082629193942050.0000; train_edge_recon_loss: 666567.7738; train_gene_expr_recon_loss: 3489017.0206; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 7082629198093680.0000; train_optim_loss: 7082629198093680.0000; val_kl_reg_loss: 121305.9659; val_edge_recon_loss: 856160.6584; val_gene_expr_recon_loss: 6016100.5787; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 6993567.2022; val_optim_loss: 6993567.2022
Epoch 22/400 |█-------------------| 5.5% val_auroc_score: 0.9476; val_auprc_score: 0.9915; val_best_acc_score: 0.9451; val_best_f1_score: 0.9695; train_kl_reg_loss: 2022228326915.2024; train_edge_recon_loss: 656424.6037; train_gene_expr_recon_loss: 2926317.8692; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2022231908689.5786; train_optim_loss: 2022231908689.5786; val_kl_reg_loss: 24960.3426; val_edge_recon_loss: 633258.1141; val_gene_expr_recon_loss: 2093986.9807; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2752205.4437; val_optim_loss: 2752205.4437

Reducing learning rate: metric has not improved more than 0.0 in the last 4 epochs.
New learning rate is 0.0001.

Epoch 23/400 |█-------------------| 5.8% val_auroc_score: 0.9509; val_auprc_score: 0.9921; val_best_acc_score: 0.9470; val_best_f1_score: 0.9704; train_kl_reg_loss: 23801.7301; train_edge_recon_loss: 607433.3302; train_gene_expr_recon_loss: 2048794.8116; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2680029.8714; train_optim_loss: 2680029.8714; val_kl_reg_loss: 23841.1615; val_edge_recon_loss: 636264.9033; val_gene_expr_recon_loss: 2033638.2666; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2693744.3318; val_optim_loss: 2693744.3318
Epoch 24/400 |█-------------------| 6.0% val_auroc_score: 0.9526; val_auprc_score: 0.9925; val_best_acc_score: 0.9474; val_best_f1_score: 0.9707; train_kl_reg_loss: 23643.5309; train_edge_recon_loss: 606637.0634; train_gene_expr_recon_loss: 2009820.8676; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2640101.4586; train_optim_loss: 2640101.4586; val_kl_reg_loss: 23918.7906; val_edge_recon_loss: 630907.0745; val_gene_expr_recon_loss: 1999043.5664; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2653869.4306; val_optim_loss: 2653869.4306
